Mem,MHz,Mode,Step,Offset,Duplex,TSQL,CTCSS,DCS,Polarity,Skip,Bank,Ch,Label
1,460.52500,NFM,12.5,5.00000,+,t,127.3,023,n,,A,1,"KE P1"
2,460.57500,NFM,12.5,5.00000,+,t,127.3,023,n,,A,2,"KE F1"
3,460.37500,NFM,12.5,5.00000,+,t,127.3,023,n,,A,3,"KE P2"
4,462.97500,NFM,12.5,5.00000,+,t,127.3,023,n,,A,4,"KE F2"
5,155.47500,NFM,5,,,,67.0,114,n,,A,5,"ISPERN"
6,155.58000,NFM,5,,,d,67.0,114,n,,A,6,"OSW PD"
7,145.17000,NFM,5,0.60000,-,,107.2,023,n,,A,7,"IHARC"
8,155.46000,NFM,5,,,,67.0,114,n,,A,8,"HF4"
9,855.48750,NFM,12.5,45.00000,-,,67.0,023,n,,A,9,"TOLLRD"
10,121.50000,AM,12.5,,,,67.0,023,n,,,,"AIREMG"
100,464.67500,NFM,12.5,,,,67.0,023,n,,B,0,"CHRLST"
101,469.03750,NFM,12.5,,,,67.0,023,n,,B,1,"CULVER"
102,464.00000,NFM,12.5,,,,67.0,023,n,,B,2,"EDWHOS"
103,464.05000,NFM,12.5,,,,67.0,023,n,,B,3,"EDWHOS"
104,464.47500,NFM,12.5,,,,67.0,023,n,,B,4,"EDWHOS"
105,464.52500,NFM,12.5,,,,67.0,023,n,,B,5,"EDWHOS"
106,463.95000,NFM,12.5,,,,67.0,023,n,,B,6,"FVM 1"
107,463.40000,NFM,12.5,,,,67.0,023,n,,B,7,"FVM 2"
108,151.95500,NFM,5,,,,67.0,023,n,,B,8,"MEIJER"
109,921.95000,NFM,12.5,,,,67.0,023,n,,B,9,"MCDONA"
110,462.52500,NFM,12.5,,,,67.0,023,n,,B,10,"PRTLO1"
111,469.01250,NFM,12.5,,,,67.0,023,n,,B,11,"PRTLO2"
112,464.01250,NFM,12.5,,,,67.0,023,n,,B,12,"PRTLO3"
113,466.28750,NFM,12.5,,,,67.0,023,n,,B,13,"PRTLO4"
114,464.87500,NFM,12.5,,,,67.0,023,n,,B,14,"STRTFO"
115,461.03750,NFM,12.5,,,,67.0,023,n,,B,15,"TARGT1"
116,466.28750,NFM,12.5,,,,67.0,023,n,,B,16,"TARGT2"
117,462.91250,NFM,12.5,,,,67.0,023,n,,B,17,"TARGT3"
118,469.48750,NFM,12.5,,,,67.0,023,n,,B,18,"TARGTS"
119,464.92500,NFM,12.5,,,,67.0,023,n,,B,19,"WOODFL"
120,464.32500,NFM,12.5,,,,67.0,023,n,,B,20,"WOODFL"
121,151.62500,NFM,5,,,,67.0,023,n,,B,21,
122,151.70000,NFM,5,,,,67.0,023,n,,B,22,
123,151.76000,NFM,5,,,,67.0,023,n,,B,23,
124,151.82000,NFM,5,,,,67.0,023,n,,B,24,
125,151.88000,NFM,5,,,,67.0,023,n,,B,25,
126,151.94000,NFM,5,,,,67.0,023,n,,B,26,
127,154.57000,NFM,5,,,,67.0,023,n,,B,27,
128,154.60000,NFM,5,,,,67.0,023,n,,B,28,
129,464.00000,NFM,12.5,,,,67.0,023,n,,B,29,
