Mem,MHz,Mode,Step,Offset,Duplex,TSQL,CTCSS,DCS,Polarity,Skip,Bank,Ch,Label
0,5.00500,AM,5,0.60000,,,88.5,023,n,,A,0,"NEPAL"
1,5.06000,AM,5,5.00000,,,88.5,023,n,,A,1,"UZBEKI"
2,5.91500,AM,5,,,,88.5,023,n,,A,2,"SLOVAK"
3,5.95000,AM,5,,,,88.5,023,n,,A,3,"TAIW-1"
4,5.96500,AM,5,,,,88.5,023,n,,A,4,"NETH-3"
5,5.97500,AM,5,,,,88.5,023,n,,A,5,"COLUMB"
6,6.00000,AM,5,,,,88.5,023,n,,A,6,"CUBA-1"
7,6.02000,AM,5,5.00000,,,88.5,023,n,,A,7,"TURKEY"
8,6.03500,AM,5,,,,88.5,023,n,,A,8,"VOA-1"
9,6.04000,AM,5,,,,88.5,023,n,,A,9,"CAN/GE"
10,6.05500,AM,5,,,,88.5,023,n,,A,10,"SPAI-1"
11,6.08000,AM,5,,,,88.5,023,n,,A,11,"GEORGI"
12,6.09000,AM,5,,,,88.5,023,n,,A,12,"ANGUIL"
13,6.11000,AM,5,,,,88.5,023,n,,A,13,"JAPA-1"
14,6.11500,AM,5,,,,88.5,023,n,,A,14,"TI/RTE"
15,6.14500,AM,5,,,,88.5,023,n,,A,15,"JAPA-2"
16,6.15000,AM,5,,,,88.5,023,n,,A,16,"SINGAP"
17,6.16500,AM,5,,,,88.5,023,n,,A,17,"NETH-1"
18,6.17500,AM,5,,,,88.5,023,n,,A,18,"MA/VIE"
19,7.12500,AM,5,,,,88.5,023,n,,A,19,"RUSS-1"
20,7.16000,AM,5,,,,88.5,023,n,,A,20,"TIRANA"
21,7.18500,AM,5,,,,88.5,023,n,,A,21,"BANGLA"
22,7.23000,AM,5,,,,88.5,023,n,,A,22,"YUGOSL"
23,7.29000,AM,5,,,,88.5,023,n,,A,23,"POLAND"
24,7.30500,AM,5,,,,88.5,023,n,,A,24,"VATICA"
25,7.32500,AM,5,,,,88.5,023,n,,A,25,"AUSTRI"
26,7.37500,AM,5,,,,88.5,023,n,,A,26,"UKRA-1"
27,7.38500,AM,5,,,,88.5,023,n,,A,27,"CZEC-1"
28,7.40000,AM,5,,,,88.5,023,n,,A,28,"BULG-1"
